Optimal policy via Value Iteration
Environment: Mountain Car (mountaincar)
Iterations: 689
Gamma=0.99, Delta=0.001
(3, 1) -> push_left
(3, 2) -> push_left
(3, 3) -> push_left
(3, 4) -> push_left
(3, 5) -> push_left
(3, 6) -> push_left
(3, 7) -> push_left
(3, 8) -> push_left
(3, 9) -> push_left
(3, 10) -> push_left
(3, 11) -> push_left
(3, 12) -> push_left
(3, 13) -> push_left
(3, 14) -> coast
(3, 15) -> coast
(3, 16) -> coast
(3, 17) -> coast
(3, 18) -> coast
(3, 19) -> coast
(3, 20) -> coast
(3, 21) -> coast
(3, 22) -> coast
(3, 23) -> coast
(3, 24) -> coast
(3, 25) -> coast
(3, 26) -> coast
(3, 27) -> push_left
(3, 28) -> push_left
(3, 29) -> coast
(3, 30) -> coast
(3, 31) -> coast
(3, 32) -> push_left
(3, 33) -> coast
(3, 34) -> push_left
(3, 35) -> coast
(3, 36) -> push_left
(3, 37) -> coast
(3, 38) -> push_left
(3, 39) -> push_left
(3, 40) -> push_left
(4, 0) -> push_left
(4, 1) -> push_left
(4, 2) -> push_left
(4, 3) -> push_left
(4, 4) -> push_left
(4, 5) -> push_left
(4, 6) -> push_left
(4, 7) -> push_left
(4, 8) -> push_left
(4, 9) -> push_left
(4, 10) -> push_left
(4, 11) -> push_left
(4, 12) -> push_left
(4, 13) -> push_left
(4, 14) -> coast
(4, 15) -> coast
(4, 16) -> coast
(4, 17) -> coast
(4, 18) -> coast
(4, 19) -> coast
(4, 20) -> coast
(4, 21) -> coast
(4, 22) -> coast
(4, 23) -> coast
(4, 24) -> coast
(4, 25) -> coast
(4, 26) -> coast
(4, 27) -> push_left
(4, 28) -> push_left
(4, 29) -> push_left
(4, 30) -> coast
(4, 31) -> coast
(4, 32) -> coast
(4, 33) -> push_left
(4, 34) -> coast
(4, 35) -> push_left
(4, 36) -> coast
(4, 37) -> push_left
(4, 38) -> coast
(4, 39) -> push_left
(4, 40) -> push_left
(5, 0) -> push_left
(5, 1) -> push_left
(5, 2) -> push_left
(5, 3) -> push_left
(5, 4) -> push_left
(5, 5) -> push_left
(5, 6) -> push_left
(5, 7) -> push_left
(5, 8) -> push_left
(5, 9) -> push_left
(5, 10) -> push_left
(5, 11) -> push_left
(5, 12) -> push_left
(5, 13) -> coast
(5, 14) -> coast
(5, 15) -> coast
(5, 16) -> coast
(5, 17) -> coast
(5, 18) -> coast
(5, 19) -> coast
(5, 20) -> coast
(5, 21) -> coast
(5, 22) -> coast
(5, 23) -> coast
(5, 24) -> coast
(5, 25) -> coast
(5, 26) -> coast
(5, 27) -> push_left
(5, 28) -> push_left
(5, 29) -> push_left
(5, 30) -> push_left
(5, 31) -> coast
(5, 32) -> coast
(5, 33) -> coast
(5, 34) -> push_left
(5, 35) -> coast
(5, 36) -> push_left
(5, 37) -> coast
(5, 38) -> push_left
(5, 39) -> push_left
(5, 40) -> push_left
(6, 0) -> push_left
(6, 1) -> push_left
(6, 2) -> push_left
(6, 3) -> push_left
(6, 4) -> push_left
(6, 5) -> push_left
(6, 6) -> push_left
(6, 7) -> push_left
(6, 8) -> push_left
(6, 9) -> push_left
(6, 10) -> push_left
(6, 11) -> push_left
(6, 12) -> coast
(6, 13) -> coast
(6, 14) -> coast
(6, 15) -> coast
(6, 16) -> coast
(6, 17) -> coast
(6, 18) -> coast
(6, 19) -> coast
(6, 20) -> coast
(6, 21) -> coast
(6, 22) -> coast
(6, 23) -> coast
(6, 24) -> coast
(6, 25) -> coast
(6, 26) -> coast
(6, 27) -> push_left
(6, 28) -> push_left
(6, 29) -> push_left
(6, 30) -> push_left
(6, 31) -> push_left
(6, 32) -> coast
(6, 33) -> coast
(6, 34) -> coast
(6, 35) -> push_left
(6, 36) -> coast
(6, 37) -> push_left
(6, 38) -> coast
(6, 39) -> push_left
(6, 40) -> push_left
(7, 0) -> push_left
(7, 1) -> push_left
(7, 2) -> push_left
(7, 3) -> push_left
(7, 4) -> push_left
(7, 5) -> push_left
(7, 6) -> push_left
(7, 7) -> push_left
(7, 8) -> push_left
(7, 9) -> push_left
(7, 10) -> push_left
(7, 11) -> coast
(7, 12) -> coast
(7, 13) -> coast
(7, 14) -> coast
(7, 15) -> coast
(7, 16) -> coast
(7, 17) -> coast
(7, 18) -> coast
(7, 19) -> coast
(7, 20) -> coast
(7, 21) -> coast
(7, 22) -> coast
(7, 23) -> coast
(7, 24) -> coast
(7, 25) -> coast
(7, 26) -> coast
(7, 27) -> push_left
(7, 28) -> push_left
(7, 29) -> push_left
(7, 30) -> push_left
(7, 31) -> push_left
(7, 32) -> push_left
(7, 33) -> coast
(7, 34) -> coast
(7, 35) -> coast
(7, 36) -> push_left
(7, 37) -> coast
(7, 38) -> push_left
(7, 39) -> push_left
(7, 40) -> push_left
(8, 0) -> push_left
(8, 1) -> push_left
(8, 2) -> push_left
(8, 3) -> push_left
(8, 4) -> push_left
(8, 5) -> push_left
(8, 6) -> push_left
(8, 7) -> push_left
(8, 8) -> push_left
(8, 9) -> push_left
(8, 10) -> coast
(8, 11) -> coast
(8, 12) -> coast
(8, 13) -> coast
(8, 14) -> coast
(8, 15) -> coast
(8, 16) -> coast
(8, 17) -> coast
(8, 18) -> coast
(8, 19) -> coast
(8, 20) -> coast
(8, 21) -> coast
(8, 22) -> coast
(8, 23) -> coast
(8, 24) -> coast
(8, 25) -> coast
(8, 26) -> coast
(8, 27) -> push_left
(8, 28) -> push_left
(8, 29) -> push_left
(8, 30) -> push_left
(8, 31) -> push_left
(8, 32) -> push_left
(8, 33) -> push_left
(8, 34) -> coast
(8, 35) -> coast
(8, 36) -> coast
(8, 37) -> push_left
(8, 38) -> coast
(8, 39) -> push_left
(8, 40) -> push_left
(9, 0) -> push_left
(9, 1) -> push_left
(9, 2) -> push_left
(9, 3) -> push_left
(9, 4) -> push_left
(9, 5) -> push_left
(9, 6) -> push_left
(9, 7) -> push_left
(9, 8) -> push_left
(9, 9) -> coast
(9, 10) -> coast
(9, 11) -> coast
(9, 12) -> coast
(9, 13) -> push_right
(9, 14) -> coast
(9, 15) -> coast
(9, 16) -> coast
(9, 17) -> coast
(9, 18) -> coast
(9, 19) -> coast
(9, 20) -> coast
(9, 21) -> coast
(9, 22) -> coast
(9, 23) -> coast
(9, 24) -> coast
(9, 25) -> coast
(9, 26) -> coast
(9, 27) -> push_left
(9, 28) -> push_left
(9, 29) -> push_left
(9, 30) -> push_left
(9, 31) -> push_left
(9, 32) -> push_left
(9, 33) -> push_left
(9, 34) -> push_left
(9, 35) -> coast
(9, 36) -> coast
(9, 37) -> coast
(9, 38) -> push_left
(9, 39) -> coast
(9, 40) -> push_left
(10, 0) -> push_left
(10, 1) -> push_left
(10, 2) -> push_left
(10, 3) -> push_left
(10, 4) -> push_left
(10, 5) -> push_left
(10, 6) -> push_left
(10, 7) -> push_left
(10, 8) -> push_right
(10, 9) -> push_right
(10, 10) -> push_right
(10, 11) -> push_right
(10, 12) -> push_right
(10, 13) -> push_right
(10, 14) -> push_right
(10, 15) -> push_right
(10, 16) -> push_right
(10, 17) -> push_right
(10, 18) -> push_right
(10, 19) -> push_right
(10, 20) -> push_right
(10, 21) -> push_right
(10, 22) -> push_right
(10, 23) -> push_right
(10, 24) -> push_right
(10, 25) -> push_right
(10, 26) -> coast
(10, 27) -> push_right
(10, 28) -> push_left
(10, 29) -> push_left
(10, 30) -> push_left
(10, 31) -> push_left
(10, 32) -> push_left
(10, 33) -> push_left
(10, 34) -> push_left
(10, 35) -> push_left
(10, 36) -> push_right
(10, 37) -> push_right
(10, 38) -> push_right
(10, 39) -> push_left
(10, 40) -> push_left
(11, 0) -> push_left
(11, 1) -> push_left
(11, 2) -> push_left
(11, 3) -> push_left
(11, 4) -> push_left
(11, 5) -> push_left
(11, 6) -> push_left
(11, 7) -> push_right
(11, 8) -> push_right
(11, 9) -> push_right
(11, 10) -> push_right
(11, 11) -> push_right
(11, 12) -> push_right
(11, 13) -> push_right
(11, 14) -> push_right
(11, 15) -> push_right
(11, 16) -> push_right
(11, 17) -> push_right
(11, 18) -> push_right
(11, 19) -> push_right
(11, 20) -> push_right
(11, 21) -> push_right
(11, 22) -> push_right
(11, 23) -> push_right
(11, 24) -> push_right
(11, 25) -> push_right
(11, 26) -> push_right
(11, 27) -> push_left
(11, 28) -> push_right
(11, 29) -> push_left
(11, 30) -> push_left
(11, 31) -> push_left
(11, 32) -> push_left
(11, 33) -> push_left
(11, 34) -> push_left
(11, 35) -> push_left
(11, 36) -> push_left
(11, 37) -> push_right
(11, 38) -> push_right
(11, 39) -> push_right
(11, 40) -> push_left
(12, 0) -> push_left
(12, 1) -> push_left
(12, 2) -> push_left
(12, 3) -> push_left
(12, 4) -> push_left
(12, 5) -> push_left
(12, 6) -> push_right
(12, 7) -> push_right
(12, 8) -> push_right
(12, 9) -> push_right
(12, 10) -> push_right
(12, 11) -> push_right
(12, 12) -> push_right
(12, 13) -> push_right
(12, 14) -> push_right
(12, 15) -> push_right
(12, 16) -> push_right
(12, 17) -> push_right
(12, 18) -> push_right
(12, 19) -> push_right
(12, 20) -> push_right
(12, 21) -> push_right
(12, 22) -> push_right
(12, 23) -> push_right
(12, 24) -> push_right
(12, 25) -> push_right
(12, 26) -> push_right
(12, 27) -> push_left
(12, 28) -> push_left
(12, 29) -> push_right
(12, 30) -> push_left
(12, 31) -> push_left
(12, 32) -> push_left
(12, 33) -> push_left
(12, 34) -> push_left
(12, 35) -> push_left
(12, 36) -> push_left
(12, 37) -> push_left
(12, 38) -> push_right
(12, 39) -> push_right
(12, 40) -> push_left
(13, 0) -> push_left
(13, 1) -> push_left
(13, 2) -> push_left
(13, 3) -> push_left
(13, 4) -> push_left
(13, 5) -> push_left
(13, 6) -> push_left
(13, 7) -> push_left
(13, 8) -> push_left
(13, 9) -> push_left
(13, 10) -> push_left
(13, 11) -> push_left
(13, 12) -> push_left
(13, 13) -> push_left
(13, 14) -> push_left
(13, 15) -> push_left
(13, 16) -> push_left
(13, 17) -> push_left
(13, 18) -> push_left
(13, 19) -> push_left
(13, 20) -> push_left
(13, 21) -> push_left
(13, 22) -> push_left
(13, 23) -> push_left
(13, 24) -> push_left
(13, 25) -> push_left
(13, 26) -> push_left
(13, 27) -> push_left
(13, 28) -> push_left
(13, 29) -> push_left
(13, 30) -> push_left
(13, 31) -> push_left
(13, 32) -> push_left
(13, 33) -> push_left
(13, 34) -> push_left
(13, 35) -> push_left
(13, 36) -> push_left
(13, 37) -> push_left
(13, 38) -> push_left
(13, 39) -> push_right
(13, 40) -> push_left
(14, 0) -> push_left
(14, 1) -> push_left
(14, 2) -> push_left
(14, 3) -> push_left
(14, 4) -> push_left
(14, 5) -> push_left
(14, 6) -> push_left
(14, 7) -> push_left
(14, 8) -> push_left
(14, 9) -> push_left
(14, 10) -> push_left
(14, 11) -> push_left
(14, 12) -> push_left
(14, 13) -> push_left
(14, 14) -> push_left
(14, 15) -> push_left
(14, 16) -> push_left
(14, 17) -> push_left
(14, 18) -> push_left
(14, 19) -> push_left
(14, 20) -> push_left
(14, 21) -> push_left
(14, 22) -> push_left
(14, 23) -> push_left
(14, 24) -> push_left
(14, 25) -> push_left
(14, 26) -> push_left
(14, 27) -> push_left
(14, 28) -> push_left
(14, 29) -> push_left
(14, 30) -> push_left
(14, 31) -> push_left
(14, 32) -> push_left
(14, 33) -> push_left
(14, 34) -> push_left
(14, 35) -> push_left
(14, 36) -> push_left
(14, 37) -> push_left
(14, 38) -> push_left
(14, 39) -> push_left
(14, 40) -> push_left
(15, 0) -> push_left
(15, 1) -> push_left
(15, 2) -> push_left
(15, 3) -> push_left
(15, 4) -> push_left
(15, 5) -> push_left
(15, 6) -> push_left
(15, 7) -> push_left
(15, 8) -> push_left
(15, 9) -> push_left
(15, 10) -> push_left
(15, 11) -> push_left
(15, 12) -> push_left
(15, 13) -> push_left
(15, 14) -> push_left
(15, 15) -> push_left
(15, 16) -> push_left
(15, 17) -> push_left
(15, 18) -> push_left
(15, 19) -> push_left
(15, 20) -> push_left
(15, 21) -> push_left
(15, 22) -> push_left
(15, 23) -> push_left
(15, 24) -> push_left
(15, 25) -> push_left
(15, 26) -> push_left
(15, 27) -> push_left
(15, 28) -> push_left
(15, 29) -> push_left
(15, 30) -> push_left
(15, 31) -> push_left
(15, 32) -> push_left
(15, 33) -> push_left
(15, 34) -> push_left
(15, 35) -> push_left
(15, 36) -> push_left
(15, 37) -> push_left
(15, 38) -> push_left
(15, 39) -> push_right
(15, 40) -> push_left
(16, 0) -> push_left
(16, 1) -> push_left
(16, 2) -> push_left
(16, 3) -> push_left
(16, 4) -> push_left
(16, 5) -> push_left
(16, 6) -> push_left
(16, 7) -> push_left
(16, 8) -> push_left
(16, 9) -> push_left
(16, 10) -> push_left
(16, 11) -> push_left
(16, 12) -> push_left
(16, 13) -> push_left
(16, 14) -> push_left
(16, 15) -> push_left
(16, 16) -> push_left
(16, 17) -> push_left
(16, 18) -> push_left
(16, 19) -> push_left
(16, 20) -> push_left
(16, 21) -> push_left
(16, 22) -> push_left
(16, 23) -> push_left
(16, 24) -> push_left
(16, 25) -> push_left
(16, 26) -> push_left
(16, 27) -> push_left
(16, 28) -> push_left
(16, 29) -> push_left
(16, 30) -> push_left
(16, 31) -> push_left
(16, 32) -> push_left
(16, 33) -> push_left
(16, 34) -> push_left
(16, 35) -> push_left
(16, 36) -> push_left
(16, 37) -> push_left
(16, 38) -> push_left
(16, 39) -> push_left
(16, 40) -> push_left
(17, 0) -> push_left
(17, 1) -> push_left
(17, 2) -> push_left
(17, 3) -> push_left
(17, 4) -> push_left
(17, 5) -> push_left
(17, 6) -> push_left
(17, 7) -> push_left
(17, 8) -> push_left
(17, 9) -> push_left
(17, 10) -> push_left
(17, 11) -> push_left
(17, 12) -> push_left
(17, 13) -> push_left
(17, 14) -> push_left
(17, 15) -> push_left
(17, 16) -> push_left
(17, 17) -> push_left
(17, 18) -> push_left
(17, 19) -> push_left
(17, 20) -> push_left
(17, 21) -> push_left
(17, 22) -> push_left
(17, 23) -> push_left
(17, 24) -> push_left
(17, 25) -> push_left
(17, 26) -> push_left
(17, 27) -> push_left
(17, 28) -> push_left
(17, 29) -> push_left
(17, 30) -> push_left
(17, 31) -> push_left
(17, 32) -> push_left
(17, 33) -> push_left
(17, 34) -> push_left
(17, 35) -> push_left
(17, 36) -> push_left
(17, 37) -> push_left
(17, 38) -> push_left
(17, 39) -> push_left
(17, 40) -> push_left
(18, 0) -> push_left
(18, 1) -> push_left
(18, 2) -> push_left
(18, 3) -> push_left
(18, 4) -> push_left
(18, 5) -> push_left
(18, 6) -> coast
(18, 7) -> coast
(18, 8) -> coast
(18, 9) -> coast
(18, 10) -> coast
(18, 11) -> coast
(18, 12) -> coast
(18, 13) -> coast
(18, 14) -> push_left
(18, 15) -> push_left
(18, 16) -> push_left
(18, 17) -> push_left
(18, 18) -> push_left
(18, 19) -> push_left
(18, 20) -> push_left
(18, 21) -> push_left
(18, 22) -> push_left
(18, 23) -> push_left
(18, 24) -> push_left
(18, 25) -> push_left
(18, 26) -> push_left
(18, 27) -> coast
(18, 28) -> push_left
(18, 29) -> push_left
(18, 30) -> coast
(18, 31) -> push_left
(18, 32) -> push_left
(18, 33) -> push_left
(18, 34) -> push_left
(18, 35) -> push_left
(18, 36) -> push_left
(18, 37) -> push_left
(18, 38) -> push_left
(18, 39) -> push_left
(18, 40) -> coast
(19, 0) -> push_left
(19, 1) -> push_left
(19, 2) -> push_left
(19, 3) -> push_left
(19, 4) -> push_left
(19, 5) -> push_left
(19, 6) -> coast
(19, 7) -> coast
(19, 8) -> coast
(19, 9) -> coast
(19, 10) -> coast
(19, 11) -> coast
(19, 12) -> coast
(19, 13) -> coast
(19, 14) -> push_left
(19, 15) -> push_left
(19, 16) -> push_left
(19, 17) -> push_left
(19, 18) -> push_left
(19, 19) -> push_left
(19, 20) -> push_left
(19, 21) -> push_left
(19, 22) -> push_left
(19, 23) -> push_left
(19, 24) -> push_left
(19, 25) -> push_left
(19, 26) -> push_left
(19, 27) -> coast
(19, 28) -> push_left
(19, 29) -> push_left
(19, 30) -> coast
(19, 31) -> push_left
(19, 32) -> push_left
(19, 33) -> push_left
(19, 34) -> push_left
(19, 35) -> push_left
(19, 36) -> push_left
(19, 37) -> push_left
(19, 38) -> push_left
(19, 39) -> push_left
(19, 40) -> coast
(20, 0) -> push_left
(20, 1) -> push_left
(20, 2) -> push_left
(20, 3) -> push_left
(20, 4) -> push_left
(20, 5) -> push_left
(20, 6) -> coast
(20, 7) -> coast
(20, 8) -> coast
(20, 9) -> coast
(20, 10) -> coast
(20, 11) -> coast
(20, 12) -> coast
(20, 13) -> coast
(20, 14) -> push_left
(20, 15) -> push_left
(20, 16) -> push_left
(20, 17) -> push_left
(20, 18) -> push_left
(20, 19) -> push_left
(20, 20) -> push_left
(20, 21) -> push_left
(20, 22) -> push_left
(20, 23) -> push_left
(20, 24) -> push_left
(20, 25) -> push_left
(20, 26) -> push_left
(20, 27) -> coast
(20, 28) -> push_left
(20, 29) -> push_left
(20, 30) -> coast
(20, 31) -> push_left
(20, 32) -> push_left
(20, 33) -> push_left
(20, 34) -> push_left
(20, 35) -> push_left
(20, 36) -> push_left
(20, 37) -> push_left
(20, 38) -> push_left
(20, 39) -> push_left
(20, 40) -> coast
(21, 0) -> push_left
(21, 1) -> push_left
(21, 2) -> push_left
(21, 3) -> push_left
(21, 4) -> push_left
(21, 5) -> push_left
(21, 6) -> push_right
(21, 7) -> push_right
(21, 8) -> push_right
(21, 9) -> push_right
(21, 10) -> push_right
(21, 11) -> push_right
(21, 12) -> push_right
(21, 13) -> push_right
(21, 14) -> push_left
(21, 15) -> push_left
(21, 16) -> push_left
(21, 17) -> push_left
(21, 18) -> push_left
(21, 19) -> push_left
(21, 20) -> push_left
(21, 21) -> push_left
(21, 22) -> push_left
(21, 23) -> push_left
(21, 24) -> push_left
(21, 25) -> push_left
(21, 26) -> push_left
(21, 27) -> push_right
(21, 28) -> push_left
(21, 29) -> push_left
(21, 30) -> push_right
(21, 31) -> push_left
(21, 32) -> push_left
(21, 33) -> push_left
(21, 34) -> push_left
(21, 35) -> push_left
(21, 36) -> push_left
(21, 37) -> push_left
(21, 38) -> push_left
(21, 39) -> push_left
(21, 40) -> push_right
(22, 0) -> push_left
(22, 1) -> push_left
(22, 2) -> push_left
(22, 3) -> push_left
(22, 4) -> push_left
(22, 5) -> push_left
(22, 6) -> push_left
(22, 7) -> push_right
(22, 8) -> push_right
(22, 9) -> push_right
(22, 10) -> push_right
(22, 11) -> push_right
(22, 12) -> push_right
(22, 13) -> push_right
(22, 14) -> push_left
(22, 15) -> push_left
(22, 16) -> push_left
(22, 17) -> push_left
(22, 18) -> push_left
(22, 19) -> push_left
(22, 20) -> push_left
(22, 21) -> push_left
(22, 22) -> push_left
(22, 23) -> push_left
(22, 24) -> push_left
(22, 25) -> push_left
(22, 26) -> push_left
(22, 27) -> push_right
(22, 28) -> push_left
(22, 29) -> push_left
(22, 30) -> push_right
(22, 31) -> push_left
(22, 32) -> push_left
(22, 33) -> push_left
(22, 34) -> push_left
(22, 35) -> push_left
(22, 36) -> push_left
(22, 37) -> push_left
(22, 38) -> push_left
(22, 39) -> push_left
(22, 40) -> push_right
(23, 0) -> push_left
(23, 1) -> push_left
(23, 2) -> push_left
(23, 3) -> push_left
(23, 4) -> push_left
(23, 5) -> push_left
(23, 6) -> push_left
(23, 7) -> push_right
(23, 8) -> push_right
(23, 9) -> push_right
(23, 10) -> push_right
(23, 11) -> push_right
(23, 12) -> push_right
(23, 13) -> push_right
(23, 14) -> push_left
(23, 15) -> push_left
(23, 16) -> push_left
(23, 17) -> push_left
(23, 18) -> push_left
(23, 19) -> push_left
(23, 20) -> push_left
(23, 21) -> push_left
(23, 22) -> push_left
(23, 23) -> push_left
(23, 24) -> push_left
(23, 25) -> push_left
(23, 26) -> push_left
(23, 27) -> push_right
(23, 28) -> push_left
(23, 29) -> push_left
(23, 30) -> push_right
(23, 31) -> push_left
(23, 32) -> push_left
(23, 33) -> push_left
(23, 34) -> push_left
(23, 35) -> push_left
(23, 36) -> push_left
(23, 37) -> push_left
(23, 38) -> push_left
(23, 39) -> push_left
(23, 40) -> push_right
(24, 0) -> push_left
(24, 1) -> push_left
(24, 2) -> push_left
(24, 3) -> push_left
(24, 4) -> push_left
(24, 5) -> push_left
(24, 6) -> push_left
(24, 7) -> push_left
(24, 8) -> push_right
(24, 9) -> push_right
(24, 10) -> push_right
(24, 11) -> push_right
(24, 12) -> push_right
(24, 13) -> push_right
(24, 14) -> push_left
(24, 15) -> push_left
(24, 16) -> push_left
(24, 17) -> push_left
(24, 18) -> push_left
(24, 19) -> push_left
(24, 20) -> push_left
(24, 21) -> push_left
(24, 22) -> push_left
(24, 23) -> push_left
(24, 24) -> push_left
(24, 25) -> push_left
(24, 26) -> push_left
(24, 27) -> push_right
(24, 28) -> push_left
(24, 29) -> push_left
(24, 30) -> push_right
(24, 31) -> push_left
(24, 32) -> push_left
(24, 33) -> push_left
(24, 34) -> push_left
(24, 35) -> push_left
(24, 36) -> push_left
(24, 37) -> push_left
(24, 38) -> push_left
(24, 39) -> push_left
(24, 40) -> push_right
(25, 0) -> push_left
(25, 1) -> push_left
(25, 2) -> push_left
(25, 3) -> push_left
(25, 4) -> push_left
(25, 5) -> push_left
(25, 6) -> push_left
(25, 7) -> push_left
(25, 8) -> push_left
(25, 9) -> push_right
(25, 10) -> push_right
(25, 11) -> push_right
(25, 12) -> push_right
(25, 13) -> push_right
(25, 14) -> push_left
(25, 15) -> push_left
(25, 16) -> push_left
(25, 17) -> push_left
(25, 18) -> push_left
(25, 19) -> push_left
(25, 20) -> push_left
(25, 21) -> push_left
(25, 22) -> push_left
(25, 23) -> push_left
(25, 24) -> push_left
(25, 25) -> push_left
(25, 26) -> push_left
(25, 27) -> push_right
(25, 28) -> push_left
(25, 29) -> push_left
(25, 30) -> push_right
(25, 31) -> push_left
(25, 32) -> push_left
(25, 33) -> push_left
(25, 34) -> push_left
(25, 35) -> push_left
(25, 36) -> push_left
(25, 37) -> push_left
(25, 38) -> push_left
(25, 39) -> push_left
(25, 40) -> push_right
(26, 0) -> push_left
(26, 1) -> push_left
(26, 2) -> push_left
(26, 3) -> push_left
(26, 4) -> push_left
(26, 5) -> push_left
(26, 6) -> push_left
(26, 7) -> push_left
(26, 8) -> push_left
(26, 9) -> push_left
(26, 10) -> push_right
(26, 11) -> push_right
(26, 12) -> push_right
(26, 13) -> push_right
(26, 14) -> push_left
(26, 15) -> push_left
(26, 16) -> push_left
(26, 17) -> push_left
(26, 18) -> push_left
(26, 19) -> push_left
(26, 20) -> push_left
(26, 21) -> push_left
(26, 22) -> push_left
(26, 23) -> push_left
(26, 24) -> push_left
(26, 25) -> push_left
(26, 26) -> push_left
(26, 27) -> push_right
(26, 28) -> push_left
(26, 29) -> push_left
(26, 30) -> push_right
(26, 31) -> push_left
(26, 32) -> push_left
(26, 33) -> push_left
(26, 34) -> push_left
(26, 35) -> push_left
(26, 36) -> push_left
(26, 37) -> push_left
(26, 38) -> push_left
(26, 39) -> push_left
(26, 40) -> push_right
(27, 0) -> push_left
(27, 1) -> push_left
(27, 2) -> push_left
(27, 3) -> push_left
(27, 4) -> push_left
(27, 5) -> push_left
(27, 6) -> push_left
(27, 7) -> push_left
(27, 8) -> push_left
(27, 9) -> push_left
(27, 10) -> push_right
(27, 11) -> push_right
(27, 12) -> push_right
(27, 13) -> push_right
(27, 14) -> push_left
(27, 15) -> push_left
(27, 16) -> push_left
(27, 17) -> push_left
(27, 18) -> push_left
(27, 19) -> push_left
(27, 20) -> push_left
(27, 21) -> push_left
(27, 22) -> push_left
(27, 23) -> push_left
(27, 24) -> push_left
(27, 25) -> push_left
(27, 26) -> push_left
(27, 27) -> push_right
(27, 28) -> push_left
(27, 29) -> push_left
(27, 30) -> push_right
(27, 31) -> push_left
(27, 32) -> push_left
(27, 33) -> push_left
(27, 34) -> push_left
(27, 35) -> push_left
(27, 36) -> push_left
(27, 37) -> push_left
(27, 38) -> push_left
(27, 39) -> push_left
(27, 40) -> push_right
(28, 0) -> push_left
(28, 1) -> push_left
(28, 2) -> push_left
(28, 3) -> push_left
(28, 4) -> push_left
(28, 5) -> push_left
(28, 6) -> push_left
(28, 7) -> push_left
(28, 8) -> push_left
(28, 9) -> push_left
(28, 10) -> push_left
(28, 11) -> push_right
(28, 12) -> push_right
(28, 13) -> push_right
(28, 14) -> push_left
(28, 15) -> push_left
(28, 16) -> push_left
(28, 17) -> push_left
(28, 18) -> push_left
(28, 19) -> push_left
(28, 20) -> push_left
(28, 21) -> push_left
(28, 22) -> push_left
(28, 23) -> push_left
(28, 24) -> push_left
(28, 25) -> push_left
(28, 26) -> push_left
