Policy snapshot for mountaincar
Format: state -> best action | action probabilities
state=(-1.2000000476837158, 0.023333333432674408): best=0 (0.972) | probs: 0:0.972, 1:0.017, 2:0.011
state=(-1.2000000476837158, 0.026923077037701235): best=0 (0.972) | probs: 0:0.972, 1:0.017, 2:0.011
state=(-1.2000000476837158, 0.03051282064272806): best=0 (0.972) | probs: 0:0.972, 1:0.017, 2:0.011
state=(-1.2000000476837158, 0.0341025642477549): best=0 (0.972) | probs: 0:0.972, 1:0.017, 2:0.011
state=(-1.2000000476837158, 0.03769230785278173): best=0 (0.971) | probs: 0:0.971, 1:0.018, 2:0.011
state=(-1.2000000476837158, 0.04128205145780857): best=0 (0.971) | probs: 0:0.971, 1:0.018, 2:0.011
state=(-1.2000000476837158, 0.044871795062835396): best=0 (0.971) | probs: 0:0.971, 1:0.018, 2:0.011
state=(-1.2000000476837158, 0.04846153866786222): best=0 (0.971) | probs: 0:0.971, 1:0.018, 2:0.011
state=(-1.2000000476837158, 0.05205128227288906): best=0 (0.971) | probs: 0:0.971, 1:0.018, 2:0.011
state=(-1.2000000476837158, 0.05564102587791589): best=0 (0.971) | probs: 0:0.971, 1:0.018, 2:0.011
state=(-1.2000000476837158, 0.05923076948294273): best=0 (0.971) | probs: 0:0.971, 1:0.018, 2:0.011
state=(-1.2000000476837158, 0.06282051308796954): best=0 (0.971) | probs: 0:0.971, 1:0.018, 2:0.011
state=(-1.2000000476837158, 0.06641025669299638): best=0 (0.971) | probs: 0:0.971, 1:0.019, 2:0.011
state=(-1.2000000476837158, 0.07000000029802322): best=0 (0.970) | probs: 0:0.970, 1:0.019, 2:0.011
state=(-1.1538461996958806, -0.07000000029802322): best=0 (0.986) | probs: 0:0.986, 1:0.008, 2:0.006
state=(-1.1538461996958806, -0.0664102566929964): best=0 (0.986) | probs: 0:0.986, 1:0.008, 2:0.006
state=(-1.1538461996958806, -0.06282051308796956): best=0 (0.986) | probs: 0:0.986, 1:0.008, 2:0.006
state=(-1.1538461996958806, -0.05923076948294273): best=0 (0.986) | probs: 0:0.986, 1:0.008, 2:0.006
state=(-1.1538461996958806, -0.055641025877915896): best=0 (0.985) | probs: 0:0.985, 1:0.008, 2:0.006
state=(-1.1538461996958806, -0.05205128227288906): best=0 (0.985) | probs: 0:0.985, 1:0.008, 2:0.006
state=(-1.1538461996958806, -0.048461538667862236): best=0 (0.985) | probs: 0:0.985, 1:0.008, 2:0.006
state=(-1.1538461996958806, -0.0448717950628354): best=0 (0.985) | probs: 0:0.985, 1:0.009, 2:0.006
state=(-1.1538461996958806, -0.04128205145780857): best=0 (0.985) | probs: 0:0.985, 1:0.009, 2:0.006
state=(-1.1538461996958806, -0.037692307852781735): best=0 (0.985) | probs: 0:0.985, 1:0.009, 2:0.006
state=(-1.1538461996958806, -0.0341025642477549): best=0 (0.985) | probs: 0:0.985, 1:0.009, 2:0.006
state=(-1.1538461996958806, -0.030512820642728075): best=0 (0.984) | probs: 0:0.984, 1:0.009, 2:0.007
state=(-1.1538461996958806, -0.02692307703770124): best=0 (0.984) | probs: 0:0.984, 1:0.009, 2:0.007
state=(-1.1538461996958806, -0.023333333432674408): best=0 (0.984) | probs: 0:0.984, 1:0.009, 2:0.007
state=(-1.1538461996958806, -0.01974358982764758): best=0 (0.984) | probs: 0:0.984, 1:0.009, 2:0.007
state=(-1.1538461996958806, -0.016153846222620748): best=0 (0.984) | probs: 0:0.984, 1:0.010, 2:0.007
state=(-1.1538461996958806, -0.012564102617593914): best=0 (0.984) | probs: 0:0.984, 1:0.010, 2:0.007
state=(-1.1538461996958806, -0.00897435901256708): best=0 (0.984) | probs: 0:0.984, 1:0.010, 2:0.007
state=(-1.1538461996958806, -0.005384615407540247): best=0 (0.983) | probs: 0:0.983, 1:0.010, 2:0.007
state=(-1.1538461996958806, -0.0017948718025134203): best=0 (0.983) | probs: 0:0.983, 1:0.010, 2:0.007
state=(-1.1538461996958806, 0.0017948718025134203): best=0 (0.983) | probs: 0:0.983, 1:0.010, 2:0.007
state=(-1.1538461996958806, 0.005384615407540247): best=0 (0.983) | probs: 0:0.983, 1:0.010, 2:0.007
state=(-1.1538461996958806, 0.008974359012567074): best=0 (0.983) | probs: 0:0.983, 1:0.010, 2:0.007
state=(-1.1538461996958806, 0.012564102617593914): best=0 (0.983) | probs: 0:0.983, 1:0.010, 2:0.007
state=(-1.1538461996958806, 0.01615384622262074): best=0 (0.983) | probs: 0:0.983, 1:0.011, 2:0.007
state=(-1.1538461996958806, 0.019743589827647567): best=0 (0.983) | probs: 0:0.983, 1:0.011, 2:0.007
state=(-1.1538461996958806, 0.023333333432674408): best=0 (0.983) | probs: 0:0.983, 1:0.011, 2:0.007
state=(-1.1538461996958806, 0.026923077037701235): best=0 (0.983) | probs: 0:0.983, 1:0.011, 2:0.007
state=(-1.1538461996958806, 0.03051282064272806): best=0 (0.982) | probs: 0:0.982, 1:0.011, 2:0.007
state=(-1.1538461996958806, 0.0341025642477549): best=0 (0.982) | probs: 0:0.982, 1:0.011, 2:0.007
state=(-1.1538461996958806, 0.03769230785278173): best=0 (0.982) | probs: 0:0.982, 1:0.011, 2:0.007
state=(-1.1538461996958806, 0.04128205145780857): best=0 (0.982) | probs: 0:0.982, 1:0.011, 2:0.007
state=(-1.1538461996958806, 0.044871795062835396): best=0 (0.982) | probs: 0:0.982, 1:0.011, 2:0.007
state=(-1.1538461996958806, 0.04846153866786222): best=0 (0.982) | probs: 0:0.982, 1:0.011, 2:0.007
state=(-1.1538461996958806, 0.05205128227288906): best=0 (0.982) | probs: 0:0.982, 1:0.011, 2:0.007
state=(-1.1538461996958806, 0.05564102587791589): best=0 (0.982) | probs: 0:0.982, 1:0.012, 2:0.007
state=(-1.1538461996958806, 0.05923076948294273): best=0 (0.982) | probs: 0:0.982, 1:0.012, 2:0.007
state=(-1.1538461996958806, 0.06282051308796954): best=0 (0.982) | probs: 0:0.982, 1:0.012, 2:0.007
state=(-1.1538461996958806, 0.06641025669299638): best=0 (0.982) | probs: 0:0.982, 1:0.012, 2:0.007
state=(-1.1538461996958806, 0.07000000029802322): best=0 (0.982) | probs: 0:0.982, 1:0.012, 2:0.007
state=(-1.1076923517080455, -0.07000000029802322): best=0 (0.992) | probs: 0:0.992, 1:0.005, 2:0.004
state=(-1.1076923517080455, -0.0664102566929964): best=0 (0.991) | probs: 0:0.991, 1:0.005, 2:0.004
state=(-1.1076923517080455, -0.06282051308796956): best=0 (0.991) | probs: 0:0.991, 1:0.005, 2:0.004
state=(-1.1076923517080455, -0.05923076948294273): best=0 (0.991) | probs: 0:0.991, 1:0.005, 2:0.004
state=(-1.1076923517080455, -0.055641025877915896): best=0 (0.991) | probs: 0:0.991, 1:0.005, 2:0.004
state=(-1.1076923517080455, -0.05205128227288906): best=0 (0.991) | probs: 0:0.991, 1:0.005, 2:0.004
state=(-1.1076923517080455, -0.048461538667862236): best=0 (0.991) | probs: 0:0.991, 1:0.005, 2:0.004
state=(-1.1076923517080455, -0.0448717950628354): best=0 (0.991) | probs: 0:0.991, 1:0.005, 2:0.004
state=(-1.1076923517080455, -0.04128205145780857): best=0 (0.991) | probs: 0:0.991, 1:0.005, 2:0.004
state=(-1.1076923517080455, -0.037692307852781735): best=0 (0.991) | probs: 0:0.991, 1:0.005, 2:0.004
state=(-1.1076923517080455, -0.0341025642477549): best=0 (0.991) | probs: 0:0.991, 1:0.006, 2:0.004
state=(-1.1076923517080455, -0.030512820642728075): best=0 (0.991) | probs: 0:0.991, 1:0.006, 2:0.004
state=(-1.1076923517080455, -0.02692307703770124): best=0 (0.991) | probs: 0:0.991, 1:0.006, 2:0.004
state=(-1.1076923517080455, -0.023333333432674408): best=0 (0.990) | probs: 0:0.990, 1:0.006, 2:0.004
state=(-1.1076923517080455, -0.01974358982764758): best=0 (0.990) | probs: 0:0.990, 1:0.006, 2:0.004
state=(-1.1076923517080455, -0.016153846222620748): best=0 (0.990) | probs: 0:0.990, 1:0.006, 2:0.004
state=(-1.1076923517080455, -0.012564102617593914): best=0 (0.990) | probs: 0:0.990, 1:0.006, 2:0.004
state=(-1.1076923517080455, -0.00897435901256708): best=0 (0.990) | probs: 0:0.990, 1:0.006, 2:0.004
state=(-1.1076923517080455, -0.005384615407540247): best=0 (0.990) | probs: 0:0.990, 1:0.006, 2:0.004
state=(-1.1076923517080455, -0.0017948718025134203): best=0 (0.990) | probs: 0:0.990, 1:0.006, 2:0.004
state=(-1.1076923517080455, 0.0017948718025134203): best=0 (0.990) | probs: 0:0.990, 1:0.006, 2:0.004
state=(-1.1076923517080455, 0.005384615407540247): best=0 (0.990) | probs: 0:0.990, 1:0.006, 2:0.004
state=(-1.1076923517080455, 0.008974359012567074): best=0 (0.990) | probs: 0:0.990, 1:0.006, 2:0.004
state=(-1.1076923517080455, 0.012564102617593914): best=0 (0.990) | probs: 0:0.990, 1:0.006, 2:0.004
state=(-1.1076923517080455, 0.01615384622262074): best=0 (0.990) | probs: 0:0.990, 1:0.006, 2:0.004
state=(-1.1076923517080455, 0.019743589827647567): best=0 (0.990) | probs: 0:0.990, 1:0.007, 2:0.004
state=(-1.1076923517080455, 0.023333333432674408): best=0 (0.990) | probs: 0:0.990, 1:0.007, 2:0.004
state=(-1.1076923517080455, 0.026923077037701235): best=0 (0.989) | probs: 0:0.989, 1:0.007, 2:0.004
state=(-1.1076923517080455, 0.03051282064272806): best=0 (0.989) | probs: 0:0.989, 1:0.007, 2:0.004
state=(-1.1076923517080455, 0.0341025642477549): best=0 (0.989) | probs: 0:0.989, 1:0.007, 2:0.004
state=(-1.1076923517080455, 0.03769230785278173): best=0 (0.989) | probs: 0:0.989, 1:0.007, 2:0.004
state=(-1.1076923517080455, 0.04128205145780857): best=0 (0.989) | probs: 0:0.989, 1:0.007, 2:0.004
state=(-1.1076923517080455, 0.044871795062835396): best=0 (0.989) | probs: 0:0.989, 1:0.007, 2:0.004
state=(-1.1076923517080455, 0.04846153866786222): best=0 (0.989) | probs: 0:0.989, 1:0.007, 2:0.004
state=(-1.1076923517080455, 0.05205128227288906): best=0 (0.989) | probs: 0:0.989, 1:0.007, 2:0.004
state=(-1.1076923517080455, 0.05564102587791589): best=0 (0.989) | probs: 0:0.989, 1:0.007, 2:0.004
state=(-1.1076923517080455, 0.05923076948294273): best=0 (0.989) | probs: 0:0.989, 1:0.007, 2:0.004
state=(-1.1076923517080455, 0.06282051308796954): best=0 (0.989) | probs: 0:0.989, 1:0.007, 2:0.004
state=(-1.1076923517080455, 0.06641025669299638): best=0 (0.989) | probs: 0:0.989, 1:0.007, 2:0.004
state=(-1.1076923517080455, 0.07000000029802322): best=0 (0.989) | probs: 0:0.989, 1:0.007, 2:0.004
state=(-1.06153850372021, -0.07000000029802322): best=0 (0.995) | probs: 0:0.995, 1:0.003, 2:0.002
state=(-1.06153850372021, -0.0664102566929964): best=0 (0.995) | probs: 0:0.995, 1:0.003, 2:0.002
state=(-1.06153850372021, -0.06282051308796956): best=0 (0.995) | probs: 0:0.995, 1:0.003, 2:0.002
state=(-1.06153850372021, -0.05923076948294273): best=0 (0.995) | probs: 0:0.995, 1:0.003, 2:0.002
state=(-1.06153850372021, -0.055641025877915896): best=0 (0.995) | probs: 0:0.995, 1:0.003, 2:0.002
state=(-1.06153850372021, -0.05205128227288906): best=0 (0.995) | probs: 0:0.995, 1:0.003, 2:0.002
state=(-1.06153850372021, -0.048461538667862236): best=0 (0.995) | probs: 0:0.995, 1:0.003, 2:0.002
state=(-1.06153850372021, -0.0448717950628354): best=0 (0.995) | probs: 0:0.995, 1:0.003, 2:0.002
state=(-1.06153850372021, -0.04128205145780857): best=0 (0.995) | probs: 0:0.995, 1:0.003, 2:0.002
state=(-1.06153850372021, -0.037692307852781735): best=0 (0.995) | probs: 0:0.995, 1:0.003, 2:0.002
state=(-1.06153850372021, -0.0341025642477549): best=0 (0.995) | probs: 0:0.995, 1:0.003, 2:0.002
state=(-1.06153850372021, -0.030512820642728075): best=0 (0.994) | probs: 0:0.994, 1:0.003, 2:0.002
state=(-1.06153850372021, -0.02692307703770124): best=0 (0.994) | probs: 0:0.994, 1:0.003, 2:0.002
state=(-1.06153850372021, -0.023333333432674408): best=0 (0.994) | probs: 0:0.994, 1:0.003, 2:0.002
state=(-1.06153850372021, -0.01974358982764758): best=0 (0.994) | probs: 0:0.994, 1:0.003, 2:0.002
state=(-1.06153850372021, -0.016153846222620748): best=0 (0.994) | probs: 0:0.994, 1:0.004, 2:0.002
state=(-1.06153850372021, -0.012564102617593914): best=0 (0.994) | probs: 0:0.994, 1:0.004, 2:0.002
state=(-1.06153850372021, -0.00897435901256708): best=0 (0.994) | probs: 0:0.994, 1:0.004, 2:0.002
state=(-1.06153850372021, -0.005384615407540247): best=0 (0.994) | probs: 0:0.994, 1:0.004, 2:0.002
state=(-1.06153850372021, -0.0017948718025134203): best=0 (0.994) | probs: 0:0.994, 1:0.004, 2:0.002
state=(-1.06153850372021, 0.0017948718025134203): best=0 (0.994) | probs: 0:0.994, 1:0.004, 2:0.002
state=(-1.06153850372021, 0.005384615407540247): best=0 (0.994) | probs: 0:0.994, 1:0.004, 2:0.002
state=(-1.06153850372021, 0.008974359012567074): best=0 (0.994) | probs: 0:0.994, 1:0.004, 2:0.002
state=(-1.06153850372021, 0.012564102617593914): best=0 (0.994) | probs: 0:0.994, 1:0.004, 2:0.002
state=(-1.06153850372021, 0.01615384622262074): best=0 (0.994) | probs: 0:0.994, 1:0.004, 2:0.002
state=(-1.06153850372021, 0.019743589827647567): best=0 (0.994) | probs: 0:0.994, 1:0.004, 2:0.002
state=(-1.06153850372021, 0.023333333432674408): best=0 (0.994) | probs: 0:0.994, 1:0.004, 2:0.002
state=(-1.06153850372021, 0.026923077037701235): best=0 (0.994) | probs: 0:0.994, 1:0.004, 2:0.002
state=(-1.06153850372021, 0.03051282064272806): best=0 (0.994) | probs: 0:0.994, 1:0.004, 2:0.002
state=(-1.06153850372021, 0.0341025642477549): best=0 (0.994) | probs: 0:0.994, 1:0.004, 2:0.002
state=(-1.06153850372021, 0.03769230785278173): best=0 (0.994) | probs: 0:0.994, 1:0.004, 2:0.002
state=(-1.06153850372021, 0.04128205145780857): best=0 (0.994) | probs: 0:0.994, 1:0.004, 2:0.002
state=(-1.06153850372021, 0.044871795062835396): best=0 (0.994) | probs: 0:0.994, 1:0.004, 2:0.002
state=(-1.06153850372021, 0.04846153866786222): best=0 (0.994) | probs: 0:0.994, 1:0.004, 2:0.002
state=(-1.06153850372021, 0.05205128227288906): best=0 (0.994) | probs: 0:0.994, 1:0.004, 2:0.002
state=(-1.06153850372021, 0.05564102587791589): best=0 (0.994) | probs: 0:0.994, 1:0.004, 2:0.002
state=(-1.06153850372021, 0.05923076948294273): best=0 (0.994) | probs: 0:0.994, 1:0.004, 2:0.002
state=(-1.06153850372021, 0.06282051308796954): best=0 (0.994) | probs: 0:0.994, 1:0.004, 2:0.002
state=(-1.06153850372021, 0.06641025669299638): best=0 (0.993) | probs: 0:0.993, 1:0.004, 2:0.002
state=(-1.06153850372021, 0.07000000029802322): best=0 (0.993) | probs: 0:0.993, 1:0.004, 2:0.002
state=(-1.015384655732375, -0.07000000029802322): best=0 (0.997) | probs: 0:0.997, 1:0.002, 2:0.001
state=(-1.015384655732375, -0.0664102566929964): best=0 (0.997) | probs: 0:0.997, 1:0.002, 2:0.001
state=(-1.015384655732375, -0.06282051308796956): best=0 (0.997) | probs: 0:0.997, 1:0.002, 2:0.001
state=(-1.015384655732375, -0.05923076948294273): best=0 (0.997) | probs: 0:0.997, 1:0.002, 2:0.001
state=(-1.015384655732375, -0.055641025877915896): best=0 (0.997) | probs: 0:0.997, 1:0.002, 2:0.001
state=(-1.015384655732375, -0.05205128227288906): best=0 (0.997) | probs: 0:0.997, 1:0.002, 2:0.001
state=(-1.015384655732375, -0.048461538667862236): best=0 (0.997) | probs: 0:0.997, 1:0.002, 2:0.001
state=(-1.015384655732375, -0.0448717950628354): best=0 (0.997) | probs: 0:0.997, 1:0.002, 2:0.001
state=(-1.015384655732375, -0.04128205145780857): best=0 (0.997) | probs: 0:0.997, 1:0.002, 2:0.001
state=(-1.015384655732375, -0.037692307852781735): best=0 (0.997) | probs: 0:0.997, 1:0.002, 2:0.001
state=(-1.015384655732375, -0.0341025642477549): best=0 (0.997) | probs: 0:0.997, 1:0.002, 2:0.001
state=(-1.015384655732375, -0.030512820642728075): best=0 (0.997) | probs: 0:0.997, 1:0.002, 2:0.001
state=(-1.015384655732375, -0.02692307703770124): best=0 (0.997) | probs: 0:0.997, 1:0.002, 2:0.001
state=(-1.015384655732375, -0.023333333432674408): best=0 (0.997) | probs: 0:0.997, 1:0.002, 2:0.001
state=(-1.015384655732375, -0.01974358982764758): best=0 (0.997) | probs: 0:0.997, 1:0.002, 2:0.001
state=(-1.015384655732375, -0.016153846222620748): best=0 (0.997) | probs: 0:0.997, 1:0.002, 2:0.001
state=(-1.015384655732375, -0.012564102617593914): best=0 (0.997) | probs: 0:0.997, 1:0.002, 2:0.001
state=(-1.015384655732375, -0.00897435901256708): best=0 (0.997) | probs: 0:0.997, 1:0.002, 2:0.001
state=(-1.015384655732375, -0.005384615407540247): best=0 (0.997) | probs: 0:0.997, 1:0.002, 2:0.001
state=(-1.015384655732375, -0.0017948718025134203): best=0 (0.997) | probs: 0:0.997, 1:0.002, 2:0.001
state=(-1.015384655732375, 0.0017948718025134203): best=0 (0.997) | probs: 0:0.997, 1:0.002, 2:0.001
state=(-1.015384655732375, 0.005384615407540247): best=0 (0.997) | probs: 0:0.997, 1:0.002, 2:0.001
state=(-1.015384655732375, 0.008974359012567074): best=0 (0.996) | probs: 0:0.996, 1:0.002, 2:0.001
state=(-1.015384655732375, 0.012564102617593914): best=0 (0.996) | probs: 0:0.996, 1:0.002, 2:0.001
state=(-1.015384655732375, 0.01615384622262074): best=0 (0.996) | probs: 0:0.996, 1:0.002, 2:0.001
state=(-1.015384655732375, 0.019743589827647567): best=0 (0.996) | probs: 0:0.996, 1:0.002, 2:0.001
state=(-1.015384655732375, 0.023333333432674408): best=0 (0.996) | probs: 0:0.996, 1:0.002, 2:0.001
state=(-1.015384655732375, 0.026923077037701235): best=0 (0.996) | probs: 0:0.996, 1:0.002, 2:0.001
state=(-1.015384655732375, 0.03051282064272806): best=0 (0.996) | probs: 0:0.996, 1:0.002, 2:0.001
state=(-1.015384655732375, 0.0341025642477549): best=0 (0.996) | probs: 0:0.996, 1:0.002, 2:0.001
state=(-1.015384655732375, 0.03769230785278173): best=0 (0.996) | probs: 0:0.996, 1:0.002, 2:0.001
state=(-1.015384655732375, 0.04128205145780857): best=0 (0.996) | probs: 0:0.996, 1:0.002, 2:0.001
state=(-1.015384655732375, 0.044871795062835396): best=0 (0.996) | probs: 0:0.996, 1:0.002, 2:0.001
state=(-1.015384655732375, 0.04846153866786222): best=0 (0.996) | probs: 0:0.996, 1:0.002, 2:0.001
state=(-1.015384655732375, 0.05205128227288906): best=0 (0.996) | probs: 0:0.996, 1:0.003, 2:0.001
state=(-1.015384655732375, 0.05564102587791589): best=0 (0.996) | probs: 0:0.996, 1:0.003, 2:0.001
state=(-1.015384655732375, 0.05923076948294273): best=0 (0.996) | probs: 0:0.996, 1:0.003, 2:0.001
state=(-1.015384655732375, 0.06282051308796954): best=0 (0.996) | probs: 0:0.996, 1:0.003, 2:0.001
state=(-1.015384655732375, 0.06641025669299638): best=0 (0.996) | probs: 0:0.996, 1:0.003, 2:0.001
state=(-1.015384655732375, 0.07000000029802322): best=0 (0.996) | probs: 0:0.996, 1:0.003, 2:0.001
state=(-0.9692308077445397, -0.07000000029802322): best=0 (0.998) | probs: 0:0.998, 1:0.001, 2:0.001
state=(-0.9692308077445397, -0.0664102566929964): best=0 (0.998) | probs: 0:0.998, 1:0.001, 2:0.001
state=(-0.9692308077445397, -0.06282051308796956): best=0 (0.998) | probs: 0:0.998, 1:0.001, 2:0.001
state=(-0.9692308077445397, -0.05923076948294273): best=0 (0.998) | probs: 0:0.998, 1:0.001, 2:0.001
state=(-0.9692308077445397, -0.055641025877915896): best=0 (0.998) | probs: 0:0.998, 1:0.001, 2:0.001
state=(-0.9692308077445397, -0.05205128227288906): best=0 (0.998) | probs: 0:0.998, 1:0.001, 2:0.001
state=(-0.9692308077445397, -0.048461538667862236): best=0 (0.998) | probs: 0:0.998, 1:0.001, 2:0.001
state=(-0.9692308077445397, -0.0448717950628354): best=0 (0.998) | probs: 0:0.998, 1:0.001, 2:0.001
state=(-0.9692308077445397, -0.04128205145780857): best=0 (0.998) | probs: 0:0.998, 1:0.001, 2:0.001
state=(-0.9692308077445397, -0.037692307852781735): best=0 (0.998) | probs: 0:0.998, 1:0.001, 2:0.001
state=(-0.9692308077445397, -0.0341025642477549): best=0 (0.998) | probs: 0:0.998, 1:0.001, 2:0.001
state=(-0.9692308077445397, -0.030512820642728075): best=0 (0.998) | probs: 0:0.998, 1:0.001, 2:0.001
state=(-0.9692308077445397, -0.02692307703770124): best=0 (0.998) | probs: 0:0.998, 1:0.001, 2:0.001
state=(-0.9692308077445397, -0.023333333432674408): best=0 (0.998) | probs: 0:0.998, 1:0.001, 2:0.001
state=(-0.9692308077445397, -0.01974358982764758): best=0 (0.998) | probs: 0:0.998, 1:0.001, 2:0.001
state=(-0.9692308077445397, -0.016153846222620748): best=0 (0.998) | probs: 0:0.998, 1:0.001, 2:0.001
state=(-0.9692308077445397, -0.012564102617593914): best=0 (0.998) | probs: 0:0.998, 1:0.001, 2:0.001
state=(-0.9692308077445397, -0.00897435901256708): best=0 (0.998) | probs: 0:0.998, 1:0.001, 2:0.001
state=(-0.9692308077445397, -0.005384615407540247): best=0 (0.998) | probs: 0:0.998, 1:0.001, 2:0.001
state=(-0.9692308077445397, -0.0017948718025134203): best=0 (0.998) | probs: 0:0.998, 1:0.001, 2:0.001
state=(-0.9692308077445397, 0.0017948718025134203): best=0 (0.998) | probs: 0:0.998, 1:0.001, 2:0.001
state=(-0.9692308077445397, 0.005384615407540247): best=0 (0.998) | probs: 0:0.998, 1:0.001, 2:0.001
state=(-0.9692308077445397, 0.008974359012567074): best=0 (0.998) | probs: 0:0.998, 1:0.001, 2:0.001
state=(-0.9692308077445397, 0.012564102617593914): best=0 (0.998) | probs: 0:0.998, 1:0.001, 2:0.001
state=(-0.9692308077445397, 0.01615384622262074): best=0 (0.998) | probs: 0:0.998, 1:0.001, 2:0.001
state=(-0.9692308077445397, 0.019743589827647567): best=0 (0.998) | probs: 0:0.998, 1:0.001, 2:0.001
state=(-0.9692308077445397, 0.023333333432674408): best=0 (0.998) | probs: 0:0.998, 1:0.001, 2:0.001
state=(-0.9692308077445397, 0.026923077037701235): best=0 (0.998) | probs: 0:0.998, 1:0.001, 2:0.001
state=(-0.9692308077445397, 0.03051282064272806): best=0 (0.998) | probs: 0:0.998, 1:0.001, 2:0.001
state=(-0.9692308077445397, 0.0341025642477549): best=0 (0.998) | probs: 0:0.998, 1:0.001, 2:0.001
state=(-0.9692308077445397, 0.03769230785278173): best=0 (0.998) | probs: 0:0.998, 1:0.001, 2:0.001
state=(-0.9692308077445397, 0.04128205145780857): best=0 (0.998) | probs: 0:0.998, 1:0.001, 2:0.001
state=(-0.9692308077445397, 0.044871795062835396): best=0 (0.998) | probs: 0:0.998, 1:0.001, 2:0.001
state=(-0.9692308077445397, 0.04846153866786222): best=0 (0.998) | probs: 0:0.998, 1:0.001, 2:0.001
state=(-0.9692308077445397, 0.05205128227288906): best=0 (0.998) | probs: 0:0.998, 1:0.001, 2:0.001
state=(-0.9692308077445397, 0.05564102587791589): best=0 (0.998) | probs: 0:0.998, 1:0.002, 2:0.001
state=(-0.9692308077445397, 0.05923076948294273): best=0 (0.998) | probs: 0:0.998, 1:0.002, 2:0.001
state=(-0.9692308077445397, 0.06282051308796954): best=0 (0.998) | probs: 0:0.998, 1:0.002, 2:0.001
state=(-0.9692308077445397, 0.06641025669299638): best=0 (0.998) | probs: 0:0.998, 1:0.002, 2:0.001
state=(-0.9692308077445397, 0.07000000029802322): best=0 (0.998) | probs: 0:0.998, 1:0.002, 2:0.001
state=(-0.9230769597567046, -0.07000000029802322): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.9230769597567046, -0.0664102566929964): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.9230769597567046, -0.06282051308796956): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.9230769597567046, -0.05923076948294273): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.9230769597567046, -0.055641025877915896): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
